Name,City,State,Type,Established,Latitude,Longitude
Triveni Kala Sangam,New Delhi,Delhi,Art Gallery,—,28.62350,77.21700
Narrow Gauge Rail Museum,Nagpur,Maharashtra,Transport,—,21.16631,79.09014
Central Museum,Nagpur,Maharashtra,History,—,21.14580,79.08815
Anthropological Museum,Seminary Hills Nagpur,Maharashtra,Anthropology,—,21.14580,79.08815
Shantivan/Ambedkar Museum,Nagpur,Maharashtra,History,—,21.14580,79.08815
Mysore Picture Gallery,Mysore,Karnataka,Art,—,12.30861,76.65306
Textile Museum,Ahmedabad,Gujarat,Textile,—,23.02251,72.57136
Toilet Museum,New Delhi,Delhi,Specialized,—,28.61857,77.21992
Museum of Everyday Things,Delhi,Delhi,Specialized,—,28.62704,77.21187
Bunker Museum,Mumbai,Maharashtra,History,—,18.96555,72.81900
Nehru Planetarium Museum,New Delhi,Delhi,Science,—,28.62514,77.21915
Jallianwala Bagh National Memorial,Amritsar,Punjab,History,1951,31.61573,74.87651
Partition Museum,Amritsar,Punjab,History/Biography,2017,31.61950,74.87350
Punjab State War Heroes Memorial & Museum,Amritsar,Punjab,Military,2021,31.61333,74.87222
Nihal Singh Statue & Museum,Muktsar,Punjab,History,—,30.4751,74.5144
Gandhi Smarak Sangrahalaya,Patna,Bihar,History/Biography,1967,25.6240,85.0500
Saptaparni Cave Archeological Museum,Bodh Gaya,Bihar,Archaeology,—,24.6975,84.9918
Fukuoka Peace Museum,Patna,Bihar,Peace/History,2007,25.6192,85.1282
Madhubani Art Museum,Madhubani,Bihar,Art,—,26.3658,86.0715
Tawang War Memorial & Museum,Tawang,Arunachal Pradesh,Military,2000,27.5869,91.8772
Ziro Shai Heritage Museum,Ziro,Arunachal Pradesh,Culture,—,27.5866,93.8292
Donyi Polo Heritage Museum,Itanagar,Arunachal Pradesh,Culture,—,27.1033,93.6937
Hornbill Festival Ethnographic Museum,Dimapur,Nagaland,Ethnographic,—,25.9177,93.7217
State Museum,Imphal,Manipur,General,—,24.8029,93.9413
Gandhi Museum,Varanasi,UP,History/Biography,1997,25.2953,82.9958
Ramnagar Fort Museum,Varanasi,UP,Artifacts,—,25.2846,83.0319
Nadesar Palace Museum,Varanasi,UP,Palace Museum,—,25.3270,82.9970
Bharat Kala Bhavan,Varanasi,UP,Art/Archaeology,1920,25.2678,82.9908
Chhatrapati Shivaji Maharaj Museum of Indian Maritime Heritage,Mumbai,Maharashtra,Maritime,—,18.9223,72.8345
Kokandahalli Memorial & Museum,Mumbai,Maharashtra,Local History,—,19.0728,72.8826
Dr Bhau Daji Lad Museum,Mumbai,Maharashtra,Art/History,1872,19.0169,72.8429
Sion Fort Museum,Mumbai,Maharashtra,Fort Museum,—,19.0406,72.8663
Manav Sangrahalaya (Museum of Man),Bhopal,Madhya Pradesh,Anthropology,1985,23.1941,77.3980
Regional Museum of Natural History,Bhopal,Madhya Pradesh,Natural History,—,23.2263,77.4333
Museum of Malwa Culture,Indore,Madhya Pradesh,Cultural,—,22.7196,75.8577
Rajwada Museum,Indore,Madhya Pradesh,Palace Museum,—,22.7193,75.8551
State Museum,Chennai,Tamil Nadu,General,1854,13.0715,80.2585
Connemara Public Library & Museum,Chennai,Tamil Nadu,General,1896,13.0674,80.2596
Museum and Art Gallery,Chennai,Tamil Nadu,Art/History,—,13.0660,80.2610
Fort St. George Museum,Chennai,Tamil Nadu,Fort Museum,—,13.0773,80.2873
Napier Museum,Thiruvananthapuram,Kerala,Art/History,1855,8.5054,76.9568
Kerala Folklore Museum,Kochi,Kerala,Cultural,—,9.9393,76.3051
Museum of Kerala History,Muziris (near Kochi),Kerala,History,—,10.0381,76.3143
Kochi Biennale Foundation Museum,Kochi,Kerala,Contemporary Art,—,9.9632,76.2425
Sree Chitra Art Gallery,Thiruvananthapuram,Kerala,Art,—,8.5062,76.9575
Rajgir Archaeological Museum,Rajgir,Bihar,Archaeology,—,25.0283,85.4218
Zoological Museum,Baripada,Odisha,Zoology,—,21.9367,86.7229
Regional Museum of Natural History,Bhubaneswar,Odisha,Natural History,—,20.2724,85.8335
Odisha State Museum,Bhubaneswar,Odisha,General,1932,20.2629,85.8406
Raghurajpur Artist Village Museum,Puri,Odisha,Art/Craft,—,19.9366,85.8451
Hirakud Dam Museum,Sambalpur,Odisha,Engineering,—,21.5250,83.8720
Kalakshetra Foundation Museum,Chennai,Tamil Nadu,Art,1936,13.0169,80.2631
Museum of Evolutionary Biology,Madras University,Chennai,Tamil Nadu,Science,—,13.0661,80.2822
Coimbatore Museum,Coimbatore,Tamil Nadu,General,—,11.0168,76.9558
Museum of Gems & Jewellery,Surat,Gujarat,Specialized,—,21.1702,72.8311
Vadodara Museum & Picture Gallery,Vadodara,Gujarat,Art/History,1894,22.3072,73.1812
Baroda Museum & Picture Gallery,Vadodara,Gujarat,Art/History,1894,22.3072,73.1812
Science City Planetarium Museum,Ahemdabad,Gujarat,Science,—,23.0683,72.5115
Gandhi Smriti & Darshan Samiti Museum,Ahmedabad,Gujarat,History/Biography,1963,23.0274,72.5867
Bombay Dockyard Museum,Mumbai,Maharashtra,Maritime,1983,18.9496,72.8406
Air Force Museum,Hyderabad,Telangana,Military,2002,17.4495,78.4660
Birla Industrial & Technological Museum,Kolkata,West Bengal,Science,1959,22.5390,88.3636
Visva Bharati University Museum,Shantiniketan,West Bengal,Art,—,23.6797,87.6856
Hans Museum,Shantiniketan,West Bengal,Local Culture,—,23.6781,87.6862
Bishwa Bangla Gallery,Kolkata,West Bengal,Art,—,22.5817,88.4375
Science and Technology Museum,Kurukshetra,Haryana,Science,—,29.9611,76.8377
Kurukshetra Panorama & Science Centre,Kurukshetra,Haryana,Science,—,29.9613,76.8374
Yadavindra Gardens & Museum,Patiala,Punjab,Cultural,—,30.8126,76.3883
Maharana Pratap Memorial Museum,Udaipur,Rajasthan,History,—,24.5913,73.6871
City Palace Museum,Udaipur,Rajasthan,Palace Museum,1935,24.5764,73.6835
Rajasthan State Archives Museum,Bikaner,Rajasthan,History,—,28.0176,73.3146
Johari Bazaar Heritage Museum,Jaipur,Rajasthan,Local History,—,26.9162,75.8235
Amber Fort Museum,Jaipur,Rajasthan,Fort Museum,—,26.9855,75.8513
Jodhpur Fort Museum,Jodhpur,Rajasthan,Fort Museum,—,26.2976,73.0181
Umaid Bhawan Palace Museum,Jodhpur,Rajasthan,Palace Museum,1943,26.2763,73.0478
MP Govt Tribal Museum,Jabalpur,Madhya Pradesh,Cultural,—,23.1815,79.9864
Chhattisgarh State Museum,Raipur,Chhattisgarh,General,—,21.2450,81.6466
Missionaries of Charity Museum,Kolkata,West Bengal,Religious,—,22.5463,88.3545
Museum of Traffic Control,Mumbai,Maharashtra,Transport,—,18.9867,72.8335
Delhi Quilt Museum,New Delhi,Delhi,Textile,—,28.6082,77.2188
National Rail Museum,New Delhi,Delhi,Transport,1977,28.5806,77.1770
Rail Heritage Centre,Ahmedabad,Gujarat,Transport,—,23.0545,72.6035
Indian Air Force Museum,Gwalior,Madhya Pradesh,Military,—,26.2938,78.2275
All India Museum of Light & Sound,Chandigarh,Chandigarh,Science,—,30.7398,76.7886
Heritage Transport Museum,Gurgaon,Haryana,Transport,—,28.2978,76.8851
Cyber Museum,Hyderabad,Telangana,IT/Science,—,17.4375,78.4483
Regional Maritime Museum,Port Blair,Andaman & Nicobar,Maritime,—,11.6722,92.7656
Cellular Jail Museum,Port Blair,Andaman & Nicobar,History,1906,11.6813,92.7493
Chandigarh Architecture Museum,Chandigarh,Chandigarh,Architecture,—,30.7410,76.8035
Museum of Christian Art,Goa,Goa,Religious Art,—,15.5020,73.9114
Ajanta-Ellora Interpretation Centre,Aurangabad,Maharashtra,Archaeology,—,20.5520,75.7033
Bhadgaonstr Museum,Bhangan,Manipur,Local History,—,24.8000,93.9500
Chitralekha International Art Gallery,Guwahati,Assam,Art,—,26.1740,91.7519
Assam State Museum,Guwahati,Assam,General,1953,26.1844,91.7525
Srimanta Sankaradeva Kalakshetra Museum,Dispur,Assam,Cultural,—,26.1270,91.8082
Kangra Fort Museum,Kangra,Himachal Pradesh,Fort Museum,—,32.0962,76.2650
Himachal State Museum,Shimla,Himachal Pradesh,General,—,31.1044,77.1734
Tibetan Museum,McLeod Ganj,Himachal Pradesh,Religious/Art,1971,32.2414,76.3200
Nalanda Archaeological Museum,Nalanda,Bihar,Archaeology,1918,25.1360,85.4441
West Bengal Film Centre,Kolkata,West Bengal,Film & Media,—,22.5436,88.3570
Museum of Home Plumbing,Mumbai,Maharashtra,Specialized,—,18.9388,72.8354
Railway Heritage Centre,Chennai,Tamil Nadu,Transport,Madras Railway Era,13.0820,80.2707
Tamil Nadu Archaeology Museum,Chennai,Tamil Nadu,Archaeology,—,13.0681,80.2408
Orissa Tribal & Folk Art Museum,Bhubaneswar,Odisha,Tribal Culture,—,20.2522,85.8231
Jain Museum,Humcha,Karnataka,Religious,—,14.0895,75.0937
Government Museum,Mysuru,Karnataka,General,—,12.3052,76.6551
Karnataka Folk Museum,Dandeli,Karnataka,Folk Culture,—,15.2663,74.6185
Richmond Town Museum,Bengaluru,Karnataka,Local History,—,12.9611,77.5993
Mangalore Port Museum,Mangalore,Karnataka,Maritime,—,12.8996,74.8432
Coastal Art Gallery,Mangaluru,Karnataka,Art,—,12.9180,74.8560
Pitalkhora Museum,Yavatmal,Maharashtra,Archaeology,—,20.3906,78.1306
Eminence Gallery,Hyderabad,Telangana,Contemporary Art,—,17.4353,78.3957
Salar Jung Museum Annex,Hyderabad,Telangana,Art,—,17.3713,78.4805
State Archaeology Museum,Hyderabad,Telangana,Archaeology,—,17.3888,78.4789
Hyderabad Film Metro Museum,Hyderabad,Telangana,Film & Media,—,17.3871,78.4818
AP State Museum & Zoo,Hyderabad,Telangana,General,—,17.3889,78.4684
Brihadeeswarar Temple Museum,Thanjavur,Tamil Nadu,Archaeology,—,10.7825,79.1319
Government Museum Kariavattam,Thiruvananthapuram,Kerala,General,—,8.5241,76.9366
Silent Valley Museum,Kollam,Kerala,Ecology,—,10.9677,76.4561
Meenakshi Temple Museum,Thanjavur,Tamil Nadu,Religious Art,—,10.7827,79.1320
Nagaland State Museum,Kohima,Nagaland,Cultural,—,25.6667,94.1194
Tribal Research Centre & Museum,Aizawl,Mizoram,Cultural,—,23.7271,92.7176
Chandra Museum,Mandla,Madhya Pradesh,History,—,22.6004,80.3712
Panna Natural History Museum,Panna,Madhya Pradesh,Natural History,—,24.7180,80.1889
Shilpgram Cultural Museum,Udaipur,Rajasthan,Cultural,—,24.5713,73.6693
Rajasthan Vintage & Classic Car Museum,Jaipur,Rajasthan,Transport,—,26.9124,75.7873
Shekhawati Regional Museum,Mandawa,Rajasthan,Cultural,—,28.0506,75.1446
Fatehpur Sikri Museum,Fatehpur Sikri,Uttar Pradesh,Archaeology,—,27.0937,77.6638
Lucknow State Museum,Lucknow,Uttar Pradesh,General,—,26.8467,80.9462
Bloom Art Gallery,Meerut,Uttar Pradesh,Art,—,28.9760,77.7039
Galib Ki Haveli Museum,Old Delhi,Delhi,Biography/Literary,—,28.6599,77.2300
Delhi Art Gallery,New Delhi,Delhi,Art,—,28.5901,77.2110
National Handicrafts & Handlooms Museum,New Delhi,Delhi,Arts & Crafts,—,28.6110,77.2433
National Philatelic Museum,New Delhi,Delhi,Philately,—,28.6301,77.2183
Nomadic Textile Museum,New Delhi,Delhi,Textile,—,28.6255,77.2141
Rail Coach Factory Heritage Museum,Rae Bareli,Uttar Pradesh,Transport,—,26.2301,81.2264
Museum of Mahjong,Hyderabad,Telangana,Specialized,—,17.4122,78.4567
Punjab Heritage Museum,Ludhiana,Punjab,History,—,30.9010,75.8573
Berhampur Archaeological Museum,Berhampur,Odisha,Archaeology,—,19.3152,84.7941
Museum of Sacred Arts/Puspakamal,Guwahati,Assam,Religious Art,—,26.1445,91.7362
Ancient Monuments Museum,Patan,Gujarat,Archaeology,—,23.8493,72.1261
Rizvi College Art Gallery,Mumbai,Maharashtra,Art,—,19.0450,72.8294
Museum of Rural Life & Crafts,Jhajjar,Haryana,Rural Culture,—,28.6076,76.6565
Haryana State Museum,Kurukshetra,Haryana,Cultural,—,29.9620,76.8283
Gufa Art Museum,Bhopal,Madhya Pradesh,Art,—,23.2034,77.4412
Indira Gandhi Memorial Museum,Srinagar,Jammu & Kashmir,Biography,—,34.0837,74.7973
Dogra Art Museum,Srinagar,Jammu & Kashmir,Art,—,34.0833,74.7970
Mahatma Gandhi Memorial Museum,Rajkot,Gujarat,Biography,—,22.2927,70.7932
Gandhi Memorial,Gandhinagar,Gujarat,Biography,—,23.2232,72.6492
State Bank Museum,Mumbai,Maharashtra,Finance History,1998,18.9297,72.8341
Bank Note Museum,Mumbai,Maharashtra,Numismatics,1996,18.9312,72.8358
World Buddhism Museum,Hyderabad,Telangana,Religion,2007,17.4132,78.4621
Museum of Buddhist Art,Bodh Gaya,Bihar,Religious Art,—,24.6952,84.9910
Glass Museum,Hyderabad,Telangana,Specialized,—,17.3850,78.4867
Paradise Art Gallery,Patna,Bihar,Art,—,25.5941,85.1376
Museum Malabar,Guruvayur,Kerala,Religious/Cultural,—,10.5941,76.0419
Kerala Spices Museum,Kozhikode,Kerala,Agricultural,—,11.2588,75.7804
City Museum,Vadodara,Gujarat,Local History,—,22.3039,73.1758
Chacha Nehru Bal Chikitsalaya Museum,Surat,Gujarat,Medical History,—,21.1702,72.8311
Maritime Archaeology Museum,Kochi,Kerala,Maritime,—,9.9662,76.2422
Tibetan Handicraft Museum,Mcleod Ganj,Himachal Pradesh,Textile,—,32.2422,76.3211
Kargil War Memorial Museum,Dras,Ladakh,Military History,—,34.4158,75.7590
Hall of Fame Museum,Chamba,Himachal Pradesh,Military/Biography,—,32.5569,76.1256
Zanskar Heritage Museum,Padum,Ladakh,Local Culture,—,33.4662,76.8847
Art & Photo Gallery,Shillong,Meghalaya,Art,—,25.5788,91.8933
Khasi Heritage Museum,Shillong,Meghalaya,Cultural,—,25.5789,91.8894
Nagaland State Art & Culture Museum,Kohima,Nagaland,Art,—,25.6747,94.1102
Tikob Heritage Museum,Dimapur,Nagaland,Local Culture,—,25.9063,93.7253
Museum of Guyana or Caribbean Heritage (India exhibit)?,Chennai,International/Cultural,—,13.0827,80.2707
Rail & Steam Heritage Museum,Nagpur,Maharashtra,Transport,—,21.1466,79.0849
Museum of Evolutionary Science,Pune,Maharashtra,Science,—,18.5204,73.8567
Patiala Heritage Gallery,Patiala,Punjab,Local History,—,30.3398,76.3869
Fatehgarh Sahib Heritage Museum,Fatehgarh Sahib,Punjab,Heritage,—,30.6471,76.4044
Maharaja Ranjit Singh Museum,Ludhiana,Punjab,History,—,30.9010,75.8573
Museum of Kashmir Arts,Srinagar,Jammu & Kashmir,Art,—,34.0837,74.7973
Balipara Foundation Nature Museum,Balipara,Assam,Natural History,—,26.9646,92.5043
Diptanshu Art Centre & Museum,Varanasi,UP,Art,—,25.3176,82.9739
Lok Kala Sanskriti Sangrahalaya,Gwalior,Madhya Pradesh,Cultural,—,26.2183,78.1828
Museum of God's Own Country (Travancore royal lineage),Thiruvananthapuram,Kerala,Royal Heritage,—,8.5241,76.9366
Museum of the North-East Hills,Mokokchung,Nagaland,Cultural,—,26.3245,94.5186
Ladakh Folklore Museum,Leh,Ladakh,Cultural,—,34.1616,77.5764
Changthang Wildlife Sanctuary Interpretation Centre,Ladakh,Natural History,—,33.1866,78.0364
Lepcha Heritage Museum,Gangtok,Sikkim,Cultural,—,27.3333,88.6167
Institute of Himalayan Bioresource Technology Museum,Solan,Himachal Pradesh,Science,—,30.9091,77.0968
Science & Technology Museum,Raipur,Chhattisgarh,Science,—,21.2514,81.6296
Jawaharlal Nehru Museum & Art Gallery,Nagaland,Cultural,—,25.6747,94.1086
Bihar Museum Annex,Patna,Bihar,History,—,25.6171,85.1226
Modern Art Gallery,Thiruvananthapuram,Kerala,Art,—,8.5091,76.9554
Sangai Deer Interpretation Centre,Manipur,Natural History,—,24.5646,93.9196
Assam State Museum,Guwahati,Assam,General,1940-04-21,26.1844,91.7525
District Museum,Dhubri,Assam,General,1988-07-06,26.0248,89.9733
Nilima Barua Folk Art Museum,Gauripur,Assam,Ethnographic,1997-01-04,26.0903,89.9633
District Museum,Barpeta,Assam,History,1987,26.3195,91.0066
District Museum,Mangaldai,Assam,History,1987,26.4477,92.0360
District Museum,Tezpur,Assam,History,1986,26.6338,92.8003
District Museum,Nagaon,Assam,History,1996,26.3592,92.6852
Lokopriya Gopinath Bordoloi Memorial Museum,Raha,Assam,Biography,—,26.2389,92.5226
Srimanta Sankardev Kalakshetra Museum,Dispur,Assam,Cultural,1988-11-09,26.1270,91.8082
Science Museum,Khanapara,Guwahati,Assam,Science,—,26.1191,91.7871
Guwahati Planetarium,Guwahati,Assam,Science,1994,26.1895,91.7532
Regional Science Museum,Khanapara,Assam,Science,—,26.1186,91.7863
Margherita Coal Heritage Museum,Margherita,Assam,Industrial,—,27.2806,95.6671
Don Bosco Centre for Indigenous Cultures,Shillong,Meghalaya,Cultural,—,25.5789,91.8938
Rhino Heritage Museum,Shillong,Meghalaya,Military,1928,25.5777,91.8882
Air Force Museum,Shillong,Meghalaya,Military,—,25.5783,91.8887
Capt. Williamson Sangma State Museum,Shillong,Meghalaya,Cultural,—,25.5788,91.8912
Wankhar Entomology Museum (Butterfly Museum),Shillong,Meghalaya,Entomology,—,25.5733,91.8929
Manekshaw Museum,Shillong,Meghalaya,Military,—,25.5780,91.8874
Geological Museum,Shillong,Meghalaya,Science,—,25.5779,91.8883
Mizoram State Museum,Aizawl,Mizoram,Ethnographic,—,23.7271,92.7176
Central Institute of Buddhist Studies Museum,Leh,Ladakh,Buddhist/Archive,—,34.1549,77.5761
Munshi Aziz Bhat Museum,Kargil,Ladakh,Trade Artefacts,2004,34.5545,76.1310
Hall of Fame Museum,Leh,Ladakh,Military,—,34.1601,77.5859
Stok Palace Museum,Stok Village,Ladakh,Palace,—,34.0162,77.6521
Zorawar Fort Museum,Leh,Ladakh,Fort,2006,34.1644,77.5852
Leh Palace Museum,Leh,Ladakh,Palace,1600,34.1667,77.5833
Alchi Monastery Museum,Alchi,Ladakh,Religious Art,958–1055,34.2220,77.1736
Tsemo Monastery Museum,Leh,Ladakh,Religious Art,—,34.1700,77.5843
Hemis Museum,Hemis,Ladakh,Buddhist Art,—,33.9046,77.7131
Likir Monastery Museum,Likir,Ladakh,Buddhist Art,—,34.2206,77.2453
Thiksey Monastery Museum,Thiksey,Ladakh,Buddhist Art,—,34.0573,77.6532
Lamayuru Monastery Museum,Lamayuru,Ladakh,Buddhist Art,—,34.2830,76.7743
Phugtal Monastery Museum,Phugtal,Ladakh,Buddhist Art,—,33.1408,77.0835
Assam Institute of Research Ethnological Museum,Guwahati,Assam,Ethnographic,—,26.1631,91.7630
Anthropological Museum,Imphal,Manipur,Ethnography,—,24.8170,93.9368
Meghalaya State Museum,Shillong,Meghalaya,Ethnographic,—,25.5789,91.8905
Tribal Research Institute Museum,Mawlai,Shillong,Meghalaya,Ethnographic,—,25.6064,91.8802
Science & Technology Museum,Raipur,Chhattisgarh,Science,—,21.2514,81.6296
District Museum,Berhampur,Odisha,History,—,19.3149,84.7940
Zoological Museum,Baripada,Odisha,Zoology,—,21.9338,86.7262
Odisha Tribal & Folk Art Museum,Bhubaneswar,Odisha,Tribal Culture,—,20.2522,85.8231
Ancient Monuments Museum,Patan,Gujarat,Archaeology,—,23.8493,72.1261
Museum of Gems & Jewellery,Surat,Gujarat,Specialized,—,21.1702,72.8311
Bank Note Museum,Mumbai,Maharashtra,Numismatics,1996,18.9312,72.8358
State Bank Museum,Mumbai,Maharashtra,Finance,1998,18.9297,72.8341
Museum of Home Plumbing,Mumbai,Maharashtra,Specialized,—,18.9388,72.8354
Museum of Traffic Control,Mumbai,Maharashtra,Transport,—,18.9517,72.8196
Mangalore Port Museum,Mangalore,Karnataka,Maritime,—,12.8996,74.8432
Richmond Town Museum,Bengaluru,Karnataka,Local History,—,12.9611,77.5993
Government Museum,Mysuru,Karnataka,General,—,12.3052,76.6551
Karnataka Folk Museum,Dandeli,Karnataka,Cultural,—,15.2663,74.6185
Jain Museum,Humcha,Karnataka,Religious,—,14.0895,75.0937
Pitalkhora Museum,Yavatmal,Maharashtra,Archaeology,—,20.3906,78.1306
Museum of Mahjong,Hyderabad,Telangana,Specialized,—,17.4122,78.4567
Eminence Gallery,Hyderabad,Telangana,Art,—,17.4353,78.3957
State Archaeology Museum,Hyderabad,Telangana,Archaeology,—,17.3888,78.4789
Hyderabad Film Metro Museum,Hyderabad,Telangana,Film & Media,—,17.3871,78.4818
AP State Museum & Zoo,Hyderabad,Telangana,General,—,17.3889,78.4684
Regional Museum of Natural History,Bhopal,Madhya Pradesh,Natural History,—,23.2306,77.4341
Gufa Art Museum,Bhopal,Madhya Pradesh,Art,—,23.2034,77.4412
Chandra Museum,Mandla,Madhya Pradesh,History,—,22.6004,80.3712
Panna Natural History Museum,Panna,Madhya Pradesh,Natural History,—,24.7180,80.1889
Lok Kala Sanskriti Sangrahalaya,Gwalior,Madhya Pradesh,Cultural,—,26.2183,78.1828
Museum of Rural Life & Crafts,Jhajjar,Haryana,Rural Culture,—,28.6076,76.6565
Haryana State Museum,Kurukshetra,Haryana,Cultural,—,29.9620,76.8283
Heritage Transport Museum,Gurgaon,Haryana,Transport,—,28.2269,76.8459
Science and Technology Museum,Kurukshetra,Haryana,Science,—,29.9695,76.8375
Air Force Museum,Hyderabad,Telangana,Military,2002,17.4550,78.4600
Bombay Dockyard Museum,Mumbai,Maharashtra,Maritime,1983,18.9493,72.8355
Nehru Planetarium Museum,New Delhi,Delhi,Science,—,28.6252,77.2113
Delhi Quilt Museum,New Delhi,Delhi,Textile,—,28.6143,77.2201
Nomadic Textile Museum,New Delhi,Delhi,Textile,—,28.6255,77.2141
National Philatelic Museum,New Delhi,Delhi,Philately,—,28.6301,77.2183
National Handicrafts & Handlooms Museum,New Delhi,Delhi,Arts & Crafts,—,28.6110,77.2433
Rail Coach Factory Heritage Museum,Rae Bareli,Uttar Pradesh,Transport,—,26.2301,81.2264
Fatehpur Sikri Museum,Fatehpur Sikri,Uttar Pradesh,Archaeology,—,27.0937,77.6638
Galib Ki Haveli Museum,Old Delhi,Delhi,Literary/Biography,—,28.6550,77.2312
Bloom Art Gallery,Meerut,UP,Art,—,28.9769,77.7101
Lucknow State Museum,Lucknow,UP,General,—,26.8486,80.9462
City Museum,Vadodara,Gujarat,Local History,—,22.3072,73.1812
Vadodara Museum & Picture Gallery,Vadodara,Gujarat,Art/History,1894,22.3057,73.1880
Tripura Government Museum,Agartala,Tripura,History,—,23.8315,91.2820
Bomdila District Museum,Bomdila,Arunachal Pradesh,Archaeology,—,27.2639,92.4013
Ziro District Museum,Ziro,Arunachal Pradesh,Archaeology,—,27.5590,93.8326
Hornbill Festival Ethnographic Museum,Dimapur,Nagaland,Ethnography,—,25.8934,93.7450
Nagaland State Museum,Kohima,Nagaland,Ethnographic,—,25.6736,94.1094
Tikob Heritage Museum,Dimapur,Nagaland,Local Culture,—,25.8931,93.7432
Changthang Wildlife Sanctuary Interpretation Centre,Padum,Ladakh,Natural History,—,33.4647,77.4415
Ladakh Folklore Museum,Leh,Ladakh,Cultural,—,34.1667,77.5833
Zanskar Heritage Museum,Padum,Ladakh,Cultural,—,33.4649,77.4412
Museum of Kashmir Arts,Srinagar,Jammu & Kashmir,Art,—,34.0837,74.7973
Indira Gandhi Memorial Museum,Srinagar,Jammu & Kashmir,Biography,—,34.0839,74.7967
Dogra Art Museum,Srinagar,Jammu & Kashmir,Art,—,34.0845,74.8003
Bihar Museum Annex,Patna,Bihar,History,—,25.6127,85.1410
Paradise Art Gallery,Patna,Bihar,Art,—,25.6131,85.1413
Mahatma Gandhi Memorial Museum,Rajkot,Gujarat,Biography,—,22.3039,70.8022
Gandhi Memorial,Gandhinagar,Gujarat,Biography,—,23.2230,72.6506
Museum of Sacred Arts,Guwahati,Assam,Religious Art,—,26.1644,91.7626
Museum Malabar,Guruvayur,Kerala,Religious/Cultural,—,10.5945,76.0414
Kerala Spices Museum,Kozhikode,Kerala,Agricultural,—,11.2568,75.7812
District Museum,Biswanath,Assam,History,—,26.7271,93.1479
District Museum,Jorhat,Assam,History,—,26.7504,94.2031
District Museum,Silchar,Assam,History,—,24.8333,92.7789
District Museum,Dibrugarh,Assam,History,—,27.4728,94.9120
Science & Technology Museum,Siliguri,West Bengal,Science,—,26.7271,88.3953
Darjeeling Himalayan Railway Museum,Darjeeling,West Bengal,Transport,—,27.0360,88.2627
Himalayan Mountaineering Institute Museum,Darjeeling,West Bengal,Mountaineering,—,27.0503,88.2631
Nichugiri Monastery Museum,Darjeeling,West Bengal,Religious Art,—,27.0505,88.2677
Zoological Museum,Kolkata,West Bengal,Zoology,—,22.5867,88.4074
Bhandarkar Oriental Research Institute Museum,Pune,Maharashtra,Oriental Studies,—,18.5101,73.8440
Tilak Museum,Pune,Maharashtra,History/Biography,—,18.5196,73.8553
Raja Dinkar Kelkar Museum,Pune,Maharashtra,Art/Culture,—,18.5104,73.8532
Lohagad Fort Museum,Matheran,Maharashtra,Fort Museum,—,18.7100,73.4731
Deccan College Museum,Pune,Maharashtra,Archaeology,—,18.5395,73.8986
Chhatrapati Shivaji Maharaj Museum of Indian Maritime Heritage,Mumbai,Maharashtra,Maritime,—,18.9516,72.8201
Railway Heritage Centre,Chennai,Tamil Nadu,Transport,—,13.0827,80.2707
Government Museum,Karur,Tamil Nadu,General,—,10.9615,78.0766
Museum of Photography,Pondicherry,Puducherry,Photography,—,11.9342,79.8306
Koraput Tribal Museum,Koraput,Odisha,Tribal Culture,—,18.8135,82.7120
